date,open,high,low,close,open_time_ms,close_time_ms
2026-01-01T00:00:00Z,99.98000000,100.10000000,99.900000000000,100.00000000,1767225600000,1767225899999
2026-01-01T00:05:00Z,100.08000000,100.20000000,100.000000000000,100.10000000,1767225900000,1767226199999
2026-01-01T00:10:00Z,100.18000000,100.30000000,100.100000000000,100.20000000,1767226200000,1767226499999
2026-01-01T00:15:00Z,100.28000000,100.40000000,100.200000000000,100.30000000,1767226500000,1767226799999
2026-01-01T00:20:00Z,100.38000000,100.50000000,100.300000000000,100.40000000,1767226800000,1767227099999
2026-01-01T00:25:00Z,100.48000000,100.60000000,100.400000000000,100.50000000,1767227100000,1767227399999
2026-01-01T00:30:00Z,100.58000000,100.70000000,100.500000000000,100.60000000,1767227400000,1767227699999
2026-01-01T00:35:00Z,100.68000000,100.80000000,100.600000000000,100.70000000,1767227700000,1767227999999
2026-01-01T00:40:00Z,100.78000000,100.90000000,100.700000000000,100.80000000,1767228000000,1767228299999
2026-01-01T00:45:00Z,100.88000000,101.00000000,100.800000000000,100.90000000,1767228300000,1767228599999
2026-01-01T00:50:00Z,100.98000000,101.10000000,100.900000000000,101.00000000,1767228600000,1767228899999
2026-01-01T00:55:00Z,101.08000000,101.20000000,101.000000000000,101.10000000,1767228900000,1767229199999
2026-01-01T01:00:00Z,101.18000000,101.30000000,101.100000000000,101.20000000,1767229200000,1767229499999
2026-01-01T01:05:00Z,101.28000000,101.40000000,101.200000000000,101.30000000,1767229500000,1767229799999
2026-01-01T01:10:00Z,101.38000000,101.50000000,101.300000000000,101.40000000,1767229800000,1767230099999
2026-01-01T01:15:00Z,101.48000000,101.60000000,101.114073748836,101.50000000,1767230100000,1767230399999
2026-01-01T01:20:00Z,101.58000000,101.70000000,101.500000000000,101.60000000,1767230400000,1767230699999
2026-01-01T01:25:00Z,101.68000000,101.80000000,101.600000000000,101.70000000,1767230700000,1767230999999
2026-01-01T01:30:00Z,101.78000000,101.90000000,101.700000000000,101.80000000,1767231000000,1767231299999
2026-01-01T01:35:00Z,101.88000000,102.00000000,101.800000000000,101.90000000,1767231300000,1767231599999
2026-01-01T01:40:00Z,101.98000000,102.10000000,101.604611686018,102.00000000,1767231600000,1767231899999
2026-01-01T01:45:00Z,102.08000000,102.20000000,102.000000000000,102.10000000,1767231900000,1767232199999
2026-01-01T01:50:00Z,102.18000000,102.30000000,102.100000000000,102.20000000,1767232200000,1767232499999
2026-01-01T01:55:00Z,102.28000000,102.40000000,102.200000000000,102.30000000,1767232500000,1767232799999
2026-01-01T02:00:00Z,102.38000000,102.50000000,102.300000000000,102.40000000,1767232800000,1767233099999
2026-01-01T02:05:00Z,102.48000000,102.60000000,102.400000000000,102.50000000,1767233100000,1767233399999
