date,open,high,low,close,volume
2026-01-01T00:00:00Z,99.8,100.4,99.6,100.0,10.0
2026-01-01T00:05:00Z,100.8,101.4,100.6,101.0,10.0
2026-01-01T00:10:00Z,101.8,102.4,101.6,102.0,10.0
2026-01-01T00:15:00Z,102.8,103.4,102.6,103.0,10.0
2026-01-01T00:20:00Z,103.8,104.4,103.6,104.0,10.0
2026-01-01T00:25:00Z,104.8,105.4,104.6,105.0,10.0
2026-01-01T00:30:00Z,105.8,106.4,105.6,106.0,10.0
2026-01-01T00:35:00Z,106.8,107.4,106.6,107.0,10.0
2026-01-01T00:40:00Z,107.8,108.4,107.6,108.0,10.0
2026-01-01T00:45:00Z,108.8,109.4,108.6,109.0,10.0
2026-01-01T00:50:00Z,109.8,110.4,109.6,110.0,10.0
2026-01-01T00:55:00Z,110.8,111.4,110.6,111.0,10.0
2026-01-01T01:00:00Z,111.8,112.4,111.6,112.0,10.0
2026-01-01T01:05:00Z,112.8,113.4,112.6,113.0,10.0
2026-01-01T01:10:00Z,113.8,114.4,113.6,114.0,10.0
2026-01-01T01:15:00Z,114.8,115.4,113.9,115.0,10.0
2026-01-01T01:20:00Z,115.8,116.4,115.6,116.0,10.0
2026-01-01T01:25:00Z,116.8,117.4,116.6,117.0,10.0
2026-01-01T01:30:00Z,117.8,118.4,117.6,118.0,10.0
2026-01-01T01:35:00Z,118.8,119.4,118.6,119.0,10.0
2026-01-01T01:40:00Z,119.8,120.4,119.6,120.0,10.0
2026-01-01T01:45:00Z,120.8,121.4,120.6,121.0,10.0
2026-01-01T01:50:00Z,121.8,122.4,121.6,122.0,10.0
2026-01-01T01:55:00Z,122.8,123.4,122.6,123.0,10.0
2026-01-01T02:00:00Z,123.8,124.4,123.6,124.0,10.0
2026-01-01T02:05:00Z,124.8,125.4,124.6,125.0,10.0
2026-01-01T02:10:00Z,125.8,126.4,125.6,126.0,10.0
2026-01-01T02:15:00Z,126.8,127.4,126.6,127.0,10.0
2026-01-01T02:20:00Z,127.8,128.4,127.6,128.0,10.0
2026-01-01T02:25:00Z,128.8,129.4,128.6,129.0,10.0
2026-01-01T02:30:00Z,129.8,130.4,129.6,130.0,10.0
2026-01-01T02:35:00Z,130.8,131.4,130.6,131.0,10.0
2026-01-01T02:40:00Z,131.8,132.4,131.6,132.0,10.0
2026-01-01T02:45:00Z,132.8,133.4,132.6,133.0,10.0
2026-01-01T02:50:00Z,133.8,134.4,133.6,134.0,10.0
2026-01-01T02:55:00Z,134.8,135.4,134.6,135.0,10.0
2026-01-01T03:00:00Z,135.8,136.4,135.6,136.0,10.0
2026-01-01T03:05:00Z,136.8,137.4,136.6,137.0,10.0
2026-01-01T03:10:00Z,137.8,138.4,137.6,138.0,10.0
2026-01-01T03:15:00Z,138.8,139.4,138.6,139.0,10.0
